0,1,2,3,4,5,6,7,8,9,10
A3GALT2,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AAAS,1.0,FALSE,1,0.0,0.0,1.0,0.334190073821024,1.0,0.0,Diverged_in_single-cell
AACS,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AAMP,1.0,FALSE,1,0.0,1.0,1.0,0.92782176570168,1.0,0.0,Diverged_in_single-cell
AARS2,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AASDH,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AASDHPPT,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ABCA4,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ABCA8,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ABCB5,1.0,FALSE,1,0.0,0.0,1.0,0.0008562646458191,0.233326069778998,0.0,Diverged_in_single-cell
ABCB6,1.0,FALSE,0,1.0,0.0,1.0,5.44e-06,1.0,0.0,Diverged_in_single-cell
ABCC10,1.0,FALSE,1,0.0,1.0,1.0,0.370200599534537,1.0,0.0,Diverged_in_single-cell
ABCC2,1.0,FALSE,0,0.0,1.0,1.0,0.851646089619574,1.0,0.0,Diverged_in_single-cell
ABCD1,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ABCF1,1.0,FALSE,1,0.0,0.0,1.0,1.79e-05,0.0001319490692451,1.0,Diverged_in_both
ABCF3,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ABCG8,1.0,FALSE,0,0.0,1.0,1.0,0.0007895685440251,0.0001229041733694,1.0,Diverged_in_both
ABHD1,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ABHD16A,1.0,FALSE,0,1.0,0.0,1.0,8.26e-06,0.0008155614867651,1.0,Diverged_in_both
ABHD5,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ABRACL,1.0,FALSE,0,0.0,1.0,1.0,0.502229604579631,1.0,0.0,Diverged_in_single-cell
ABT1,1.0,FALSE,0,1.0,0.0,1.0,0.968844621819293,1.0,0.0,Diverged_in_single-cell
ACAD11,1.0,FALSE,1,1.0,1.0,1.0,8.28e-06,2.49e-06,1.0,Diverged_in_both
ACAD8,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ACADM,1.0,FALSE,0,0.0,1.0,1.0,0.667600336608655,1.0,0.0,Diverged_in_single-cell
ACAT1,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ACBD7,1.0,FALSE,0,1.0,0.0,1.0,0.277002670135788,1.0,0.0,Diverged_in_single-cell
ACCSL,1.0,FALSE,0,0.0,1.0,1.0,0.964871809829319,1.0,0.0,Diverged_in_single-cell
ACER1,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
